CustomerID,CustomerName,Region,SignupDate,Quantity,TotalValue,Cluster
C0107,Dana Cantrell,South America,2023-02-07,12,3623.92,1
C0108,David Davis,South America,2022-09-28,16,4848.54,0
C0109,Abigail Jones,North America,2022-05-09,32,5487.25,0
C0110,Elizabeth Wells,Asia,2024-09-21,4,942.32,1
C0111,Roger David,Europe,2024-11-13,16,1973.02,1
C0112,Brian Adkins,South America,2022-07-07,8,1959.51,1
C0113,Joseph Ortiz Jr.,South America,2022-06-17,22,4812.1,0
C0114,Benjamin Anderson,Europe,2024-11-18,18,5780.43,0
C0115,Joshua Hamilton,Asia,2024-11-11,8,3137.18,1
C0116,James Martinez,North America,2024-09-11,11,2758.6800000000003,1
C0117,Jeffrey Mcmahon,North America,2024-11-22,12,4028.2700000000004,1
C0118,Jacob Holt,South America,2022-01-22,10,3434.77,1
C0119,David Armstrong,Europe,2023-11-13,6,1191.61,1
C0120,Francisco Diaz,South America,2023-01-13,9,2470.02,1
C0121,Mark Atkinson,Europe,2023-07-23,8,974.52,1
C0122,Corey Ruiz,North America,2022-05-06,17,5072.55,0
C0123,Jason Johnston,Asia,2023-11-05,4,1400.06,1
C0124,Lindsay Perez,Europe,2024-08-26,19,4264.33,0
C0125,Nicholas Taylor,North America,2022-12-18,10,2973.96,1
C0126,Caitlin Brown,South America,2024-02-20,13,4565.57,0
C0127,Kathryn Stevens,Europe,2024-04-04,11,3232.88,1
C0128,Henry Leach,Asia,2023-05-29,3,773.19,1
C0129,Marcus Livingston,South America,2024-04-14,9,2339.61,1
C0130,Robert Jones,South America,2023-04-19,2,601.36,1
C0131,Scott Wilson,North America,2022-06-05,7,1943.82,1
C0132,Lisa Jackson,Europe,2023-02-01,8,1851.2599999999998,1
C0133,Gwendolyn Carter,South America,2023-03-11,11,2884.33,1
C0134,Theresa Gonzalez,Asia,2022-02-19,16,2679.28,1
C0135,Toni Weaver,Europe,2022-08-23,10,3135.58,1
C0136,Kristen Holder,Asia,2024-03-14,21,4298.99,0
C0137,Robert Gardner,South America,2024-04-09,11,3332.55,1
C0138,Cynthia Clayton,Asia,2024-11-01,17,5610.25,0
C0139,Ricky Gutierrez,North America,2022-03-14,13,3703.64,1
C0140,Gregory Estrada,Asia,2023-07-01,5,1888.1399999999999,1
C0141,Paul Parsons,Europe,2023-02-23,27,10673.869999999999,0
C0142,Nicole Long DVM,Asia,2024-02-08,11,2239.04,1
C0143,Brian Parker,Asia,2024-05-27,21,6044.63,0
C0144,Andrea Hart,North America,2024-09-30,8,1304.6799999999998,1
C0145,Wayne Stone,Asia,2023-01-13,20,5771.27,0
C0146,Brittany Harvey,Asia,2024-09-04,8,2570.8,1
C0147,Hunter Fuller,South America,2022-05-16,14,2948.44,1
C0148,Matthew Rogers,South America,2023-04-16,18,5457.79,0
C0149,Tina Wilson,Europe,2023-01-21,15,4404.78,0
C0150,Angela Williams,South America,2022-09-13,2,580.34,1
C0151,Amber Gonzalez,South America,2024-11-22,4,223.96,1
C0152,Justin Evans,South America,2022-04-19,10,3385.8599999999997,1
C0153,Justin Smith,South America,2022-03-20,17,4744.79,0
C0154,Robert Sharp,North America,2024-10-27,11,3703.61,1
C0155,Michelle Brown,South America,2023-03-23,17,5377.83,0
C0156,William Adams,North America,2023-08-19,28,7634.45,0
C0157,Miguel Wong,North America,2024-01-30,10,1876.1,1
C0158,Wendy Browning,South America,2023-04-12,9,3716.52,1
C0159,Austin Miller,Asia,2022-08-06,8,2072.41,1
C0160,Jodi Cook,North America,2022-04-05,14,2926.93,1
C0161,Jessica Warren,Asia,2022-03-14,14,3141.83,1
C0162,Edwin Watson,Asia,2022-03-29,20,4802.24,0
C0163,Tiffany Cain,South America,2023-06-08,19,5775.28,0
C0164,Morgan Perez,Europe,2023-06-01,10,3087.69,1
C0165,Juan Mcdaniel,South America,2022-04-09,30,6708.1,0
C0166,John Rogers,Europe,2022-02-13,11,2405.3500000000004,1
C0167,Brandy Welch,Europe,2024-01-27,8,2300.42,1
C0168,Karen Clements MD,South America,2022-12-13,12,5053.83,0
C0169,Jennifer Shaw,South America,2023-04-13,20,4533.32,0
C0170,Logan Harris,Europe,2023-09-13,15,4931.74,0
C0171,Michael Cowan,South America,2022-12-16,15,5145.35,0
C0172,Jamie Webb,Europe,2024-09-09,10,2201.7,1
C0173,Francisco Young,Asia,2022-10-06,20,5808.04,0
C0174,Tracy Steele,South America,2022-11-03,12,2891.95,1
C0175,Matthew Johnson,Asia,2022-04-16,26,6210.53,0
C0176,Nicole Booth,North America,2022-03-23,12,2331.32,1
C0177,Julia Kelly,Asia,2024-06-01,9,2509.81,1
C0178,Carol Williams,Asia,2023-11-19,9,2708.83,1
C0179,Donald Miller,Europe,2022-10-16,14,3652.83,1
C0181,Alexander Barker,South America,2023-11-16,15,3347.6000000000004,1
C0182,Joshua Preston,Europe,2024-12-28,17,4980.7699999999995,0
C0183,Kimberly Johnson,North America,2024-01-23,12,3850.2200000000003,1
C0184,Tina Jacobs,South America,2022-05-13,11,3393.1800000000003,1
C0185,Kathleen Logan,North America,2023-10-17,9,3424.3199999999997,1
C0186,Amber Alexander,Asia,2023-10-11,7,1761.6399999999999,1
C0187,Kayla Kelly,South America,2024-08-02,11,4612.44,1
C0188,Anna Ball,South America,2022-05-17,21,7111.320000000001,0
C0189,Sherri Dixon,North America,2024-01-22,11,2643.21,1
C0190,Alexander Lowe,South America,2024-05-31,14,2983.02,1
C0191,Samantha Gibson DVM,South America,2024-04-07,11,2997.9700000000003,1
C0192,Sarah Arias,South America,2022-09-15,8,2072.7200000000003,1
C0193,Douglas Torres,Asia,2023-02-03,11,3009.2900000000004,1
C0194,Stacy Cook,North America,2024-05-04,14,3869.17,1
C0195,Jeremy Mclaughlin,South America,2024-09-17,17,4036.27,0
C0196,Laura Watts,Europe,2022-06-07,12,4982.88,0
C0197,Christina Harvey,Europe,2023-03-21,9,1928.65,1
C0198,Rebecca Ray,Europe,2022-02-27,3,931.83,1
C0199,Andrea Jenkins,Europe,2022-12-03,9,1979.28,1
C0200,Kelly Cross,Asia,2023-06-11,16,4758.6,0
